Altium Designer Pick and Place Locations
C:\Users\kavin\Desktop\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Setup\Bluetooth_Speaker_Driver\Project Outputs for Free Documents\Pick Place\Pick Place for PCB(Fabrication Variant).txt

========================================================================================================================
File Design Information:

Date:       16/09/26
Time:       18:59
Revision:   001faec4ccd30f65ce1fd190df22033bef97a918
Variant:    Fabrication Variant
Units used: mil

Designator Comment              Layer    Footprint                    Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                                                                                                                                                              
R17        100k                 TopLayer RECS0603X45N                 1628.898      409.764       90       "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R16        "49.9 ohm"           TopLayer RECS0603X45N                 1564.000      447.000       90       "C23185, 0603WAF499JT5E, -55?~+155? 100mW 49.9O 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R15        324k                 TopLayer RECS0603X45N                 2768.000      976.000       180      "C861321, RT0603BRD07324KL, -55?~+155? 100mW 324kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R14        320k                 TopLayer RECS0603X45N                 2999.000      1121.000      90       "C20165692, RT0603BRD07320KL, -55?~+155? 100mW 320kO 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                      
R13        100k                 TopLayer RECS0603X45N                 2649.606      844.488       270      "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R12        100k                 TopLayer RECS0603X45N                 2998.031      1235.236      90       "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R11        510K                 TopLayer RECS0603X45N                 2615.000      494.000       90       "C114066, RC0603FR-07510KL, -55?~+155? 100mW 510kO 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R10        "100 ohm"            TopLayer RECS0603X45N                 2011.811      651.575       270      "C122970, RT0603BRD07100RL, -55?~+155? 100mW 100O 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                         
R9         100k                 TopLayer RECS0603X45N                 2550.157      576.260       90       "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R8         130K                 TopLayer RECS0603X45N                 2310.236      845.591       90       "C163432, RC0603FR-07130KL, -55?~+155? 100mW 130kO 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R7         510K                 TopLayer RECS0603X45N                 2220.236      805.591       0        "C114066, RC0603FR-07510KL, -55?~+155? 100mW 510kO 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R6         "470 ohm"            TopLayer RECS0603X45N                 2665.394      1492.126      0        "C705857,RT0603BRE07470RL, -55?~+155? 100mW 470O 75V Thin Film Resistor ±0.1% ±50ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R5         "470 ohm"            TopLayer RECS0603X45N                 2665.394      1577.126      0        "C705857,RT0603BRE07470RL, -55?~+155? 100mW 470O 75V Thin Film Resistor ±0.1% ±50ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                          
R4D        100k                 TopLayer RECS0603X45N                 1102.362      2125.984      0        "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R4C        100k                 TopLayer RECS0603X45N                 866.142       2125.984      0        "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R4B        100k                 TopLayer RECS0603X45N                 629.921       2125.984      0        "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R4A        100k                 TopLayer RECS0603X45N                 393.701       2125.984      0        "C116674, AC0603FR-07100KL, -55?~+155? 100kO 100mW 75V Thick Film Resistor ±1% ±100ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                        
R3D        "100 ohm"            TopLayer RECS0603X45N                 1102.362      2007.874      90       "C122970, RT0603BRD07100RL, -55?~+155? 100mW 100O 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                         
R3C        "100 ohm"            TopLayer RECS0603X45N                 866.142       2007.874      90       "C122970, RT0603BRD07100RL, -55?~+155? 100mW 100O 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                         
R3B        "100 ohm"            TopLayer RECS0603X45N                 629.921       2007.874      90       "C122970, RT0603BRD07100RL, -55?~+155? 100mW 100O 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                         
R3A        "100 ohm"            TopLayer RECS0603X45N                 393.701       2007.874      90       "C122970, RT0603BRD07100RL, -55?~+155? 100mW 100O 75V Thin Film Resistor ±0.1% ±25ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                         
R2D        "50 ohm"             TopLayer RECS0603X45N                 1102.362      2401.575      0        "C849792, RT0603BRE0750RL, -55?~+155? 100mW 50O 75V Thin Film Resistor ±0.1% ±50ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R2C        "50 ohm"             TopLayer RECS0603X45N                 866.142       2401.575      180      "C849792, RT0603BRE0750RL, -55?~+155? 100mW 50O 75V Thin Film Resistor ±0.1% ±50ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R2B        "50 ohm"             TopLayer RECS0603X45N                 629.921       2401.575      0        "C849792, RT0603BRE0750RL, -55?~+155? 100mW 50O 75V Thin Film Resistor ±0.1% ±50ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R2A        "50 ohm"             TopLayer RECS0603X45N                 393.701       2401.575      180      "C849792, RT0603BRE0750RL, -55?~+155? 100mW 50O 75V Thin Film Resistor ±0.1% ±50ppm/? 0603 Chip Resistor - Surface Mount ROHS"                                                                                                                                                           
R1         "2.2 ohm"            TopLayer CAPC0201X03N                 653.189       760.000       180      "C474415, RC0201JR-072R2L, -100ppm/?~+350ppm/? -55?~+125? 2.2O 25V 50mW Thick Film Resistor ±5% 0201 Chip Resistor - Surface Mount ROHS"                                                                                                                                                 
Q1D        AO3400A              TopLayer SOT23_P240X110-3N            1102.362      2263.780      90       "C347475, AO3400A, -55?~+150? 1 N-channel 1.1V 1.4W 17mO@10V 30V 5.8A 77pF 823pF 9.7nC@4.5V 99pF SOT-23 MOSFETs ROHS"                                                                                                                                                                    
Q1C        AO3400A              TopLayer SOT23_P240X110-3N            866.142       2263.780      90       "C347475, AO3400A, -55?~+150? 1 N-channel 1.1V 1.4W 17mO@10V 30V 5.8A 77pF 823pF 9.7nC@4.5V 99pF SOT-23 MOSFETs ROHS"                                                                                                                                                                    
Q1B        AO3400A              TopLayer SOT23_P240X110-3N            629.921       2263.780      90       "C347475, AO3400A, -55?~+150? 1 N-channel 1.1V 1.4W 17mO@10V 30V 5.8A 77pF 823pF 9.7nC@4.5V 99pF SOT-23 MOSFETs ROHS"                                                                                                                                                                    
Q1A        AO3400A              TopLayer SOT23_P240X110-3N            393.701       2263.780      90       "C347475, AO3400A, -55?~+150? 1 N-channel 1.1V 1.4W 17mO@10V 30V 5.8A 77pF 823pF 9.7nC@4.5V 99pF SOT-23 MOSFETs ROHS"                                                                                                                                                                    
LED1D      LED_YELLOW           TopLayer LED_0805_127P120X200-2N      1102.362      2480.315      180      "C965814, XL-2012UYC, 120° 2.3V 20mA 50mW 585nm~595nm 590nm Discrete Diode Top-mount Water Clear Yellow 0805 LED Indication - Discrete ROHS"                                                                                                                                             
LED1C      LED_YELLOW           TopLayer LED_0805_127P120X200-2N      866.142       2480.315      0        "C965814, XL-2012UYC, 120° 2.3V 20mA 50mW 585nm~595nm 590nm Discrete Diode Top-mount Water Clear Yellow 0805 LED Indication - Discrete ROHS"                                                                                                                                             
LED1B      LED_YELLOW           TopLayer LED_0805_127P120X200-2N      629.921       2480.315      180      "C965814, XL-2012UYC, 120° 2.3V 20mA 50mW 585nm~595nm 590nm Discrete Diode Top-mount Water Clear Yellow 0805 LED Indication - Discrete ROHS"                                                                                                                                             
LED1A      LED_YELLOW           TopLayer LED_0805_127P120X200-2N      393.701       2480.315      0        "C965814, XL-2012UYC, 120° 2.3V 20mA 50mW 585nm~595nm 590nm Discrete Diode Top-mount Water Clear Yellow 0805 LED Indication - Discrete ROHS"                                                                                                                                             
L9         10uH                 TopLayer INDC6060X45N                 5463.583      2027.559      90       "C168076, FNR6045S100MT, 10uH 2.7A 3.5A 62mO Magnetic Shielded Inductor ±20% SMD,6x6mm Power Inductors ROHS"                                                                                                                                                                             
L8         10uH                 TopLayer INDC6060X45N                 5117.126      2023.622      90       "C168076, FNR6045S100MT, 10uH 2.7A 3.5A 62mO Magnetic Shielded Inductor ±20% SMD,6x6mm Power Inductors ROHS"                                                                                                                                                                             
